Display Name	Registry Name	Display Version	Registry Time	Install Date	Installed For	Install Location	Publisher	Uninstall String	Change Install String	Quiet Uninstall String	Comments	About URL	Update Info URL	Help Link	Install Source	Installer Name	Release Type	Display Icon Path	MSI Filename	Estimated Size	Attributes	Language	Parent Key Name	Registry Key
HP JumpStart Launch	{81CA40FD-E11B-4DC1-AE33-A71EB044B8B7}	1.1.275.0	22.06.2017 7:38:53	22.06.2017	All Users (32-Bit)		HP Inc.	MsiExec.exe /I{81CA40FD-E11B-4DC1-AE33-A71EB044B8B7}	MsiExec.exe /I{81CA40FD-E11B-4DC1-AE33-A71EB044B8B7}	msiexec.exe /x {81CA40FD-E11B-4DC1-AE33-A71EB044B8B7} /qn					c:\SWSetup\APP\Applications\HP\HPJumpSta_QQQMB2\1.2.283.0\src\	Windows Installer				433 KB	Windows Installer	en-US		HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{81CA40FD-E11B-4DC1-AE33-A71EB044B8B7}
HP Registration Service	{D1E8F2D7-7794-4245-B286-87ED86C1893C}	1.2.7127.4628	28.01.2014 18:11:30	28.01.2014	All Users (64-Bit)	C:\Program Files (x86)\Hewlett-Packard\HP Registration Service\	Hewlett-Packard	MsiExec.exe /X{D1E8F2D7-7794-4245-B286-87ED86C1893C}	MsiExec.exe /X{D1E8F2D7-7794-4245-B286-87ED86C1893C}	msiexec.exe /x {D1E8F2D7-7794-4245-B286-87ED86C1893C} /qn		http://www.Hewlett-Packard.com			C:\SwSetup\HPSIOB\src\64\	Windows Installer				30 886 KB	No Modify, No Repair, Windows Installer	en-US		HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\{D1E8F2D7-7794-4245-B286-87ED86C1893C}	
HP SimplePass	InstallShield_{314FAD12-F785-4471-BCE8-AB506642B9A1}	8.00.57	27.12.2017 9:05:43	07.11.2013	All Users (32-Bit)	C:\Program Files\Hewlett-Packard\SimplePass\	Hewlett-Packard	"C:\Program Files (x86)\InstallShield Installation Information\{314FAD12-F785-4471-BCE8-AB506642B9A1}\setup.exe" -runfromtemp -l0x0419  -removeonly	"C:\Program Files (x86)\InstallShield Installation Information\{314FAD12-F785-4471-BCE8-AB506642B9A1}\setup.exe" -runfromtemp -l0x0419 		HP SimplePass	http://www.hp.com		http://www.hp.com	C:\SWSetup\HPSP\x64\			C:\windows\Installer\{314FAD12-F785-4471-BCE8-AB506642B9A1}\ARPPRODUCTICON.exe		34 688 KB	No Modify, No Repair			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\InstallShield_{314FAD12-F785-4471-BCE8-AB506642B9A1}	
HP Support Assistant	{3AF15EEA-8EDF-4393-BB6C-CF8A9986486A}	7.3.35.20	07.11.2013 14:59:15	07.11.2013	All Users (32-Bit)	C:\Program Files (x86)\Hewlett-Packard\HP Support Framework\	Hewlett-Packard Company	"C:\Program Files (x86)\InstallShield Installation Information\{3AF15EEA-8EDF-4393-BB6C-CF8A9986486A}\setup.exe" -runfromtemp -l0x0409  -removeonly	"C:\Program Files (x86)\InstallShield Installation Information\{3AF15EEA-8EDF-4393-BB6C-CF8A9986486A}\setup.exe" -runfromtemp -l0x0409 	msiexec.exe /x {3AF15EEA-8EDF-4393-BB6C-CF8A9986486A} /qn		http://www.hp.com			C:\ProgramData\{A5CCDB92-FA53-47D1-89E6-32B82D86621A}\	Windows Installer		C:\windows\Installer\{3AF15EEA-8EDF-4393-BB6C-CF8A9986486A}\ARPPRODUCTICON.exe		86 424 KB	No Modify, No Repair, Windows Installer	en-US		HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{3AF15EEA-8EDF-4393-BB6C-CF8A9986486A}	
HP Sure Connect	{6468C4A5-E47E-405F-B675-A70A70983EA6}	1.0.0.29	22.06.2017 8:15:22	20.03.2017	All Users (32-Bit)	C:\Program Files (x86)\HP Inc.\HP Sure Connect	HP Inc.	"C:\Program Files (x86)\InstallShield Installation Information\{6468C4A5-E47E-405F-B675-A70A70983EA6}\setup.exe" -runfromtemp -l0x0409  -removeonly	"C:\Program Files (x86)\InstallShield Installation Information\{6468C4A5-E47E-405F-B675-A70A70983EA6}\setup.exe" -runfromtemp -l0x0409 	msiexec.exe /x {6468C4A5-E47E-405F-B675-A70A70983EA6} /qn		http://www.hp.com			c:\SWSetup\APP\Applications\HP\HPSureCon_QQARB2\1.0.0.29\src\Setup.exe	Windows Installer		C:\Program Files\HPCommRecovery\HPCommRecovery.exe			No Modify, No Repair	en-US		HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{6468C4A5-E47E-405F-B675-A70A70983EA6}
HP System Event Utility	{29E20347-C62F-4657-938E-876A182B67F1}	1.4.14	20.03.2017 3:33:03	20.03.2017	All Users (32-Bit)		HP Inc.	MsiExec.exe /I{29E20347-C62F-4657-938E-876A182B67F1}	MsiExec.exe /I{29E20347-C62F-4657-938E-876A182B67F1}	msiexec.exe /x {29E20347-C62F-4657-938E-876A182B67F1} /qn		http://www.hp.com			c:\SWSetup\APP\Applications\HP\HPSystemE_NNBCB2\1.40\src\	Windows Installer				11�111 KB	Windows Installer	en-US		HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{29E20347-C62F-4657-938E-876A182B67F1}
HP System Event Utility	{C78E8F51-3EAD-4F0C-83F0-EF371075E0B4}	1.0.10	07.11.2013 14:34:12	07.11.2013	All Users (32-Bit)		Hewlett-Packard Company	MsiExec.exe /I{C78E8F51-3EAD-4F0C-83F0-EF371075E0B4}	MsiExec.exe /I{C78E8F51-3EAD-4F0C-83F0-EF371075E0B4}	msiexec.exe /x {C78E8F51-3EAD-4F0C-83F0-EF371075E0B4} /qn		http://www.hp.com			C:\SwSetup\HPSEU\	Windows Installer				7 173 KB	Windows Installer	en-US		HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{C78E8F51-3EAD-4F0C-83F0-EF371075E0B4}	
HP System Event Utility	{D17A3B70-B75E-4C49-83D6-C17DDF65B35F}	1.3.4	08.09.2018 4:02:12	28.07.2015	All Users (32-Bit)		Hewlett-Packard Company	MsiExec.exe /I{D17A3B70-B75E-4C49-83D6-C17DDF65B35F}	MsiExec.exe /I{D17A3B70-B75E-4C49-83D6-C17DDF65B35F}	msiexec.exe /x {D17A3B70-B75E-4C49-83D6-C17DDF65B35F} /qn		http://www.hp.com			c:\SWSetup\APP\Applications\HP\HPSystemE_HH90B2\1.30\src\	Windows Installer				8 831 KB	Windows Installer	en-US		HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{D17A3B70-B75E-4C49-83D6-C17DDF65B35F}	
HP Welcome	HPWelcome	1.0	05.09.2018 20:21:07		All Users (64-Bit)	c:	Hewlett-Packard Company	c:\Program Files\Hewlett-Packard\HP Welcome\uninstall.bat										c:\Program Files\Hewlett-Packard\HP Welcome\Garage.Container.exe						HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\HPWelcome	
HP Wireless Button Driver	{099DAD2B-56C5-4919-9F82-418C2A018CAE}	1.1.18.1	22.06.2017 7:41:21	22.06.2017	All Users (32-Bit)		HP	MsiExec.exe /X{099DAD2B-56C5-4919-9F82-418C2A018CAE}	MsiExec.exe /X{099DAD2B-56C5-4919-9F82-418C2A018CAE}	msiexec.exe /x {099DAD2B-56C5-4919-9F82-418C2A018CAE} /qn		http://www.hp.com			C:\ProgramData\HP\MsiCache\HP Wireless Button Driver\{205325AB-9A96-4DFD-91A7-D89FE671C62C}\	Windows Installer				2�046 KB	No Modify, No Repair, Windows Installer			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{099DAD2B-56C5-4919-9F82-418C2A018CAE}
